Site,Latitude,Longitude,Type,biomass_1984,biomass_1985,biomass_1986,biomass_1987,biomass_1988,biomass_1989,biomass_1990,biomass_1991,biomass_1992,biomass_1993,biomass_1994,biomass_1995,biomass_1996,biomass_1997,biomass_1998,biomass_1999,biomass_2000,biomass_2001,biomass_2002,biomass_2003,biomass_2004,biomass_2005,biomass_2006,biomass_2007,biomass_2008,biomass_2009,biomass_2010,biomass_2011,biomass_2012,biomass_2013,biomass_2014,biomass_2015,biomass_2016,biomass_2017,biomass_2018,biomass_2019,biomass_2020,biomass_2021,biomass_2022,biomass_2023
Little Cumberland Island,30.9501352,-81.4212473,LS,405.2233581542969,555.376220703125,398.42919921875,384.4053649902344,410.5320129394531,553.736328125,387.5877685546875,424.2720642089844,560.7041015625,407.691650390625,564.6633911132812,588.630126953125,548.9714965820312,429.3396911621094,415.5429382324219,378.1053161621094,400.6046142578125,403.0775146484375,551.21435546875,397.4080505371094,548.8938598632812,551.8646850585938,381.1927795410156,549.8466796875,402.5005187988281,405.2819519042969,373.8719787597656,372.57470703125,422.6311950683594,556.0313110351562,390.634765625,553.8182983398438,376.6953125,553.0803833007812,376.0141296386719,383.3002624511719,400.4906005859375,564.7680053710938,380.2182312011719,401.5634460449219
"Fortson Pond, Jekyll Island",31.0533724,-81.414579,LS,1106.060546875,1122.154541015625,1105.9124755859375,1130.5584716796875,1134.2257080078125,1148.188720703125,1090.497314453125,1122.5501708984375,1116.3646240234375,1096.8555908203125,1148.0406494140625,1148.1973876953125,1148.188720703125,1118.9395751953125,1090.966796875,1090.497314453125,1106.060546875,1105.9124755859375,887.137451171875,1026.6959228515625,1124.1875,1146.4085693359375,1064.9486083984375,1148.5633544921875,1106.646484375,1143.678955078125,1089.736083984375,1026.4967041015625,1123.1361083984375,1148.188720703125,1090.497314453125,1148.188720703125,1090.497314453125,1148.9466552734375,1091.083251953125,1090.9564208984375,1142.6541748046875,1147.342041015625,1105.2958984375,1119.58349609375
"DNR’s Coastal Regional Headquarters, Brunswick",31.122932,-81.4781025,LS,400.1164245605469,591.4933471679688,416.8795471191406,442.380615234375,566.0003051757812,597.7177124023438,403.8226013183594,437.9405212402344,599.6282958984375,420.989501953125,678.2070922851562,771.6581420898438,601.6041259765625,413.3059387207031,409.16552734375,390.8619079589844,393.6917419433594,405.861083984375,592.0405883789062,408.9341735839844,619.0064086914062,634.8064575195312,391.5102844238281,593.7565307617188,421.3631896972656,633.2402954101562,408.6048278808594,402.3301696777344,401.0772399902344,676.0087890625,411.2017822265625,691.1078491210938,429.18798828125,587.8322143554688,421.2631530761719,410.3292541503906,639.799560546875,598.1044311523438,437.5787353515625,431.8302917480469
"Beach Road Bridge, Little St. Simons Island",31.2496704,-81.2935178,LS,564.2081909179688,851.4225463867188,584.8094482421875,618.1554565429688,641.2131958007812,966.8479614257812,604.793212890625,1044.6131591796875,798.288818359375,795.829833984375,962.9987182617188,1117.396728515625,1060.95458984375,720.4535522460938,1000.36474609375,986.0770874023438,794.8148193359375,916.3484497070312,1022.2581176757812,681.3676147460938,892.1041259765625,1075.6287841796875,825.8826904296875,956.90234375,868.9622802734375,901.3327026367188,834.269287109375,587.6646728515625,644.5120849609375,1029.4339599609375,857.5505981445312,1026.480224609375,618.1712036132812,643.1123046875,794.5059814453125,740.2882080078125,1054.369140625,1026.5921630859375,828.9646606445312,875.7179565429688
"Cannon’s Point Preserve, St. Simon’s Island",31.2600377,-81.3397779,LS,783.1275024414062,813.290283203125,598.8529663085938,642.9187622070312,838.69873046875,974.5387573242188,613.0569458007812,1096.7637939453125,835.7453002929688,782.7850952148438,989.3742065429688,945.1616821289062,965.6111450195312,814.474365234375,823.3058471679688,791.9157104492188,647.063720703125,580.0358276367188,780.4863891601562,802.8228149414062,925.691162109375,1000.05615234375,749.455078125,802.2987670898438,613.8093872070312,820.3352661132812,778.0648803710938,734.287109375,756.3076171875,1024.3341064453125,802.0,928.2799682617188,784.1417846679688,783.7781372070312,868.38623046875,857.2322387695312,1030.6849365234375,1015.6127319335938,832.4754028320312,827.238525390625
"Mosquito Creek, Little St. Simon’s Island",31.2600784,-81.3011048,LS,572.0137939453125,850.1373291015625,571.7227783203125,632.481689453125,686.1121826171875,822.6240234375,582.12841796875,1016.0869140625,765.1690063476562,639.8114013671875,804.8823852539062,882.3485107421875,820.9925537109375,603.881591796875,852.43603515625,601.771240234375,583.1212158203125,920.2830810546875,855.020751953125,696.1585693359375,793.109619140625,855.7109375,523.054931640625,798.3372192382812,614.2495727539062,864.47265625,642.2344970703125,630.4527587890625,614.9097900390625,889.1050415039062,682.908447265625,939.0220336914062,662.7560424804688,614.9945678710938,654.2356567382812,670.9796142578125,952.009521484375,856.137939453125,645.1949462890625,660.0623168945312
"Long Tabby, Sapelo Island",31.431955,-81.2826587,LS,757.8359375,700.3057861328125,562.1585083007812,854.93212890625,694.6639404296875,887.145263671875,507.08355712890625,839.0563354492188,715.3428955078125,547.24658203125,732.0699462890625,912.0464477539062,839.02880859375,585.3251953125,1838.47119140625,594.5345458984375,492.40960693359375,500.3165283203125,765.0458984375,626.9833374023438,749.4339599609375,859.4924926757812,492.78546142578125,863.3543701171875,490.49658203125,521.5858154296875,549.767333984375,436.461669921875,503.1171569824219,894.2946166992188,739.560302734375,886.7509155273438,521.323486328125,1319.789306640625,655.1627197265625,592.94921875,896.029296875,505.42828369140625,1591.31201171875,1270.7706298828125
"Ashantilly, Sapelo Island",31.4355651,-81.2800035,LS,1261.3839111328125,1315.4586181640625,1301.18896484375,1219.3375244140625,1248.07373046875,1312.6578369140625,1138.2974853515625,1236.9852294921875,1305.908203125,1294.5128173828125,1250.6448974609375,1318.6287841796875,1255.8460693359375,1149.166015625,1291.1064453125,1227.413330078125,1160.9586181640625,1075.1593017578125,1279.1036376953125,1147.40771484375,1279.9130859375,1310.8857421875,1153.3946533203125,1276.7921142578125,1221.322265625,1239.747802734375,1146.5819091796875,1090.766845703125,1215.576416015625,1234.3590087890625,1171.1207275390625,1313.4464111328125,1216.6595458984375,1240.3516845703125,1221.093017578125,1223.610595703125,1296.5123291015625,1271.962890625,1143.331298828125,1208.520751953125
"Skidaway Island State Park, Skidaway Island",31.9515771,-81.0554977,LS,532.7831420898438,515.6707763671875,805.99560546875,512.47216796875,794.6126708984375,781.574951171875,492.3706359863281,593.1580810546875,757.0556030273438,513.7623901367188,765.378173828125,846.8359375,523.5968017578125,514.1112670898438,585.1170654296875,491.391357421875,455.9533386230469,451.3693542480469,775.4654541015625,436.69403076171875,799.3089599609375,493.8442687988281,448.2655944824219,771.8766479492188,458.77496337890625,780.1444091796875,468.11102294921875,463.83843994140625,455.8447570800781,777.9193115234375,477.18865966796875,794.0428466796875,487.93798828125,470.4368896484375,449.19354248046875,441.64276123046875,520.3826904296875,483.83880615234375,493.796875,509.2618408203125
"Burton 4-H, Tybee Island",32.0077322,-80.8513245,LS,582.9871826171875,611.4921264648438,848.1975708007812,597.7933349609375,844.0607299804688,872.9462280273438,636.5051879882812,830.16259765625,791.4747314453125,612.8914794921875,845.0958251953125,871.9696655273438,793.0509033203125,984.8438720703125,578.127197265625,640.218994140625,577.4417724609375,564.0389404296875,893.5477294921875,565.8037719726562,904.2940673828125,650.5679321289062,573.4541015625,879.0084838867188,530.5238647460938,831.9852294921875,575.46240234375,568.044677734375,584.1202392578125,801.7271728515625,635.6467895507812,879.0203247070312,570.3380126953125,525.93359375,555.61376953125,564.9263916015625,600.9497680664062,594.1043701171875,605.0372314453125,586.8134155273438
Plantation Creek Site,31.122967,-81.477183,OR,476.28082275390625,690.678955078125,482.9839172363281,489.8428649902344,489.2130126953125,745.3485107421875,476.431396484375,1099.02783203125,715.9917602539062,486.5748596191406,753.1800537109375,803.7026977539062,754.5350952148438,500.5758972167969,527.024658203125,511.4720153808594,503.583740234375,497.925537109375,777.2515869140625,496.3707275390625,771.7905883789062,767.4906005859375,470.18316650390625,687.058837890625,472.3442687988281,731.6852416992188,481.77618408203125,469.6977233886719,465.0888977050781,777.681640625,518.208251953125,772.0968627929688,517.0885009765625,698.5496215820312,538.9768676757812,484.2751159667969,787.852294921875,988.900390625,520.24609375,507.6805725097656
Florida Passage Site,31.83865,-81.15333333,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oatland Site,32.04801667,-81.01923333,OR,457.64727783203125,444.72607421875,547.2748413085938,458.3970947265625,498.80047607421875,519.6707763671875,389.2844543457031,499.9032897949219,496.1640319824219,443.41064453125,522.2127075195312,651.15576171875,464.3359375,541.939453125,449.41448974609375,396.7978515625,406.1827392578125,372.32366943359375,496.59698486328125,394.3500671386719,502.79052734375,455.00146484375,351.7005615234375,572.4336547851562,387.33984375,497.874267578125,381.69281005859375,369.8919372558594,354.4215087890625,466.1101379394531,394.67236328125,539.1361694335938,370.3489074707031,425.6881408691406,396.9720153808594,356.3480529785156,495.99078369140625,483.3500061035156,377.5871276855469,378.2134704589844
Skidaway River Site,31.9888,-81.02488333,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estuaries Area of the Altamaha River,31.32615,-81.32228333,OR,433.4261474609375,433.4261474609375,347.10101318359375,366.530517578125,436.34326171875,433.4261474609375,319.7938232421875,409.9501037597656,434.8175354003906,311.6361083984375,433.4261474609375,434.951904296875,412.7320251464844,329.18280029296875,292.24749755859375,266.57220458984375,239.03802490234375,255.20423889160156,368.17816162109375,266.9945983886719,402.8188171386719,1854.35205078125,440.1629638671875,1823.58984375,1799.669189453125,1950.1796875,1817.5302734375,1735.5443115234375,1211.0897216796875,1972.831787109375,1793.3154296875,1940.8671875,1686.530517578125,1947.05224609375,1817.14892578125,1233.4351806640625,1973.8133544921875,1907.148193359375,1723.8162841796875,1257.7666015625
Jekyll Island Boat Ramp Site,31.04165,-81.42301667,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oyster Creek Site A,32.00298333,-80.91781667,OR,251.4507293701172,430.58660888671875,430.91009521484375,320.2840881347656,366.93157958984375,366.93157958984375,209.91847229003906,362.3172302246094,425.0860595703125,,385.9090270996094,431.8638000488281,286.9053649902344,289.42999267578125,256.0095520019531,230.1901092529297,220.39454650878906,219.8813018798828,364.37335205078125,219.4696807861328,370.6454772949219,255.40866088867188,190.1876678466797,363.6625061035156,253.6863250732422,430.91009521484375,276.6304931640625,194.72645568847656,233.80386352539062,362.6283874511719,271.07025146484375,370.4817199707031,231.23068237304688,254.8160858154297,237.55560302734375,237.841064453125,248.54364013671875,261.6824645996094,294.9412841796875,242.51644897460938
Oyster Creek Site B,32.00441667,-80.91488333,OR,227.66983032226562,371.869384765625,340.26422119140625,300.5909729003906,365.83099365234375,366.54052734375,283.5108947753906,318.78155517578125,338.6120300292969,256.44549560546875,385.05145263671875,418.5138244628906,268.3937072753906,269.0016174316406,227.5269317626953,205.47523498535156,226.1492919921875,209.36036682128906,375.5749816894531,204.48785400390625,376.6925964355469,268.116455078125,214.5615997314453,430.30712890625,294.03924560546875,335.7762451171875,209.88404846191406,203.76905822753906,227.6087646484375,325.12860107421875,249.6463165283203,378.50909423828125,214.3900909423828,221.91314697265625,215.87464904785156,241.77734375,248.71795654296875,210.92201232910156,208.8602752685547,214.15072631835938
Oyster Creek Site C,32.00795,-80.91168333,OR,330.97662353515625,434.4122009277344,405.062744140625,323.52191162109375,327.3505859375,409.7663879394531,256.75689697265625,425.86358642578125,312.28253173828125,,372.5913391113281,419.3043212890625,262.6791687011719,261.568115234375,272.5613708496094,195.93638610839844,222.052978515625,204.2325439453125,372.8776550292969,204.30259704589844,347.5966796875,231.0164031982422,200.25341796875,372.025634765625,221.46095275878906,312.2435302734375,256.05902099609375,268.7506408691406,200.6726837158203,313.71551513671875,236.86236572265625,349.023681640625,199.91201782226562,221.705810546875,204.7177276611328,298.67327880859375,225.57550048828125,204.43130493164062,200.85885620117188,205.05975341796875
Jointer Creek Oyster Reef A,31.0808,-81.50021667,OR,254.91921997070312,430.91009521484375,327.9162292480469,340.9830017089844,363.95343017578125,366.5874328613281,304.7181701660156,348.7121887207031,362.58502197265625,327.07415771484375,360.4329528808594,430.91009521484375,362.16143798828125,248.0482635498047,248.0674591064453,292.3247375488281,248.2039794921875,321.4491882324219,362.78802490234375,262.6050720214844,360.4329528808594,360.4016418457031,234.41751098632812,366.68402099609375,249.03981018066406,424.8375244140625,228.74977111816406,260.03314208984375,265.0600891113281,366.8111877441406,246.154541015625,366.8507995605469,246.154541015625,366.8507995605469,225.04884338378906,263.41949462890625,367.08062744140625,366.8507995605469,250.52996826171875,486.6187744140625
Jointer Creek Oyster Reef B,31.0796,-81.49396667,OR,320.3948974609375,398.8818359375,328.4344482421875,340.9830017089844,346.48516845703125,385.67041015625,308.973388671875,318.76861572265625,397.5220947265625,321.81402587890625,404.23663330078125,425.5883483886719,364.82403564453125,254.0380401611328,248.8094482421875,257.35223388671875,248.3688507080078,284.314697265625,364.8016357421875,265.72662353515625,369.86798095703125,421.9255065917969,229.52430725097656,407.44671630859375,320.43389892578125,366.81817626953125,234.82009887695312,263.4571228027344,272.0531005859375,364.28485107421875,246.154541015625,369.9775390625,247.41001892089844,366.8507995605469,235.52169799804688,268.4398193359375,367.102783203125,366.8507995605469,253.6358642578125,261.88079833984375
Jointer Creek Oyster Reef C,31.08058333,-81.49078333,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jointer Creek Oyster Reef D,31.0704,-81.47005,OR,433.2145690917969,589.4173583984375,453.0459899902344,441.3571472167969,438.07061767578125,554.7848510742188,392.7259521484375,561.9890747070312,558.075439453125,428.7970275878906,662.1802978515625,682.1582641601562,630.9486083984375,431.2176513671875,463.97369384765625,394.3631896972656,375.7541198730469,392.2391357421875,574.0792846679688,397.9867248535156,663.5443725585938,653.6135864257812,297.5436096191406,542.5849609375,408.9531555175781,655.512939453125,342.0229797363281,302.4481506347656,370.52252197265625,620.8062744140625,395.4573974609375,700.8470458984375,408.9241943359375,551.0103759765625,683.4196166992188,398.9858703613281,489.6767272949219,671.4904174804688,395.9306640625,1089.521240234375
Turtle A,31.12626667,-81.47906667,OR,532.8370971679688,787.24658203125,559.0703735351562,556.6983642578125,545.1710205078125,676.9505615234375,520.711669921875,1823.376708984375,783.1063232421875,580.20458984375,757.867919921875,788.8839721679688,743.6825561523438,490.168212890625,518.5753784179688,532.58935546875,554.2330322265625,556.1582641601562,737.323486328125,567.0109252929688,677.035400390625,752.0005493164062,508.14752197265625,677.8102416992188,507.06903076171875,733.2413330078125,548.8612060546875,500.5902099609375,486.3493957519531,742.6925048828125,560.53271484375,752.872802734375,533.0084228515625,691.1888427734375,555.1083374023438,536.5543823242188,757.052978515625,761.0111083984375,566.4022827148438,570.8907470703125
