pix,utm_east,utm_north,ID,zone,site,biomass_1984,biomass_1985,biomass_1986,biomass_1987,biomass_1988,biomass_1989,biomass_1990,biomass_1991,biomass_1992,biomass_1993,biomass_1994,biomass_1995,biomass_1996,biomass_1997,biomass_1998,biomass_1999,biomass_2000,biomass_2001,biomass_2002,biomass_2003,biomass_2004,biomass_2005,biomass_2006,biomass_2007,biomass_2008,biomass_2009,biomass_2010,biomass_2011,biomass_2012,biomass_2013,biomass_2014,biomass_2015,biomass_2016,biomass_2017,biomass_2018,biomass_2019,biomass_2020,biomass_2021,biomass_2022,biomass_2023
471750 3489270,471750.0,3489270.0,6,creekbank,2.0,317.6037,443.67416,309.24948,397.9346,405.4694,386.49252,286.91052,495.28888,399.22626,283.78903,448.1692,602.125,436.97202,379.22784,374.59732,359.62897,283.45248,315.6739,377.59494,343.51913,440.8815,485.3727,344.4586,431.08044,260.378,379.3657,328.33337,248.74014,306.8539,553.36365,338.2261,388.72287,339.9778,426.28,367.9067,278.81192,469.2607,538.7879,334.00958,359.63867
471750 3489240,471750.0,3489240.0,7,creekbank,2.0,298.1069,364.1713,294.21332,337.89856,364.09784,372.11395,278.914,528.2013,401.2857,311.5726,439.86566,593.52344,468.81296,369.3932,367.61115,347.901,322.03906,336.1907,367.95657,407.31433,431.4684,542.5593,345.0315,435.08954,286.35574,443.0726,333.16144,310.36072,340.65356,555.2245,363.39078,392.904,350.48785,532.6925,379.45398,353.2256,547.38824,551.2266,346.06174,490.39224
471750 3489210,471750.0,3489210.0,8,creekbank,2.0,307.131,374.89075,338.15298,353.026,376.0577,378.00342,262.26248,560.2322,397.86072,315.5528,435.24344,593.52344,571.2496,356.85327,362.88965,328.1188,281.07132,301.534,367.1447,326.07507,436.12903,533.7427,323.76883,421.6824,271.34976,368.28854,324.54596,240.79402,304.50116,546.874,350.27853,410.80234,345.06296,541.61084,379.6557,352.27548,545.2397,541.4961,362.29715,379.39545
471750 3489180,471750.0,3489180.0,9,creekbank,2.0,315.14154,386.41245,321.52097,340.5768,405.4206,382.28403,255.90944,434.03876,377.9412,281.10028,445.85855,561.43964,524.4318,366.0836,384.0486,304.11804,281.45593,275.2429,380.6844,287.98788,442.35092,441.5782,296.24536,401.90216,268.29504,315.1206,330.67798,253.2505,343.6856,551.3057,338.9078,387.09464,351.64862,442.0654,387.4866,358.33365,542.9847,537.5008,360.0613,386.96506
471750 3489150,471750.0,3489150.0,10,creekbank,2.0,402.2608,529.1225,389.75574,410.14407,517.49097,461.60376,338.8622,650.9117,436.1611,343.57724,604.5737,632.382,607.80365,385.02536,387.69418,367.60815,322.42078,334.2757,450.4552,357.7156,577.14984,502.6601,367.3108,466.89655,328.26077,474.40317,344.09454,328.8234,382.61334,606.4813,368.92322,442.05057,363.4771,588.41705,414.0121,321.04105,574.97144,587.2303,385.60217,501.82138
471780 3489270,471780.0,3489270.0,11,creekbank,2.0,359.9333,375.78052,342.93176,381.0027,430.37848,416.28485,282.34775,618.29376,413.41843,309.85843,551.00525,594.37305,462.94727,372.96686,365.97882,344.6166,320.30344,326.12634,371.54358,325.5126,522.4125,556.6891,333.2418,434.16595,267.02432,360.43732,323.8693,260.78064,304.40326,548.01086,363.63348,389.5275,344.47787,436.71106,380.12396,319.3729,549.099,545.395,360.27005,378.23642
471780 3489240,471780.0,3489240.0,12,creekbank,2.0,576.3128,750.77814,589.5886,560.1817,760.64496,759.19025,570.13855,939.5956,762.20355,581.20874,828.7404,986.79486,874.1737,619.73773,665.80707,597.22235,532.907,555.10034,718.0734,650.65344,795.7994,875.331,523.56274,824.27734,536.59106,673.102,577.39014,520.7332,547.7093,886.84924,659.27264,560.2723,638.44867,866.0488,657.6774,577.13226,893.7171,883.2165,596.86646,704.2234
471780 3489210,471780.0,3489210.0,13,creekbank,2.0,289.51358,360.43182,333.60342,344.54303,394.1014,354.1221,229.31862,474.19772,360.614,286.74524,423.40985,548.35706,485.64014,351.31854,348.34015,332.64148,247.57906,269.41965,355.49408,277.67282,422.21243,422.02783,312.78812,408.6259,225.997,287.5768,278.45615,222.83769,269.40997,527.8787,328.0623,375.18396,325.81335,419.89908,353.19278,292.2636,536.2633,535.59735,337.7509,359.584
471780 3489150,471780.0,3489150.0,15,creekbank,2.0,410.9876,520.11145,387.56317,442.85654,560.0076,469.01733,352.36234,542.15405,454.24448,375.48257,602.0417,614.86053,600.4356,416.55435,421.448,389.1814,363.704,360.4582,468.4665,397.63318,577.3027,495.5533,390.29074,472.64087,355.2397,398.8008,392.63727,334.314,414.91046,601.1639,408.86633,458.8259,401.89285,581.00055,431.59656,405.66656,586.03986,594.65063,408.19366,564.9258
471810 3489300,471810.0,3489300.0,17,creekbank,2.0,318.90912,381.25922,313.39407,378.7441,407.02368,421.91064,286.77097,431.58832,411.1179,306.76245,437.98895,598.7802,436.06003,357.83173,365.05475,329.1278,293.58594,275.44843,380.52,306.51212,395.6366,426.8695,308.38113,421.0232,263.74902,313.8218,308.11874,244.50336,276.81525,429.51892,335.14902,379.3508,335.74664,431.33377,375.823,335.12524,560.47723,546.60944,366.49048,367.6679
471810 3489270,471810.0,3489270.0,18,creekbank,2.0,339.5623,451.86658,371.67865,377.55344,404.35846,409.30475,292.23715,608.49054,413.5815,309.15656,443.08835,590.96344,441.07672,385.9217,378.9169,357.3647,291.12305,283.97556,378.5574,286.56854,431.3894,559.8997,326.6739,438.3018,255.56053,433.2044,324.0275,241.05598,294.84836,497.54718,346.28497,394.48456,353.80103,446.5329,401.19672,341.5576,561.4791,550.6921,372.46802,399.2794
471810 3489240,471810.0,3489240.0,19,creekbank,2.0,358.35135,381.55606,359.38132,395.59552,397.7462,399.2846,296.69016,651.41473,413.58826,310.90692,441.81787,598.64594,444.37088,381.3457,371.8569,352.21976,306.07098,276.4491,385.06046,332.5496,437.91452,554.27893,316.9563,432.2178,266.67056,366.70386,333.01266,244.48643,302.53195,510.4898,333.42886,394.46558,362.20187,442.68542,388.53842,329.69543,554.2395,546.4367,366.55264,387.10254
471810 3489210,471810.0,3489210.0,20,creekbank,2.0,296.12457,365.82394,285.62436,269.9262,364.86865,368.0877,251.67531,427.6185,366.01215,253.24542,398.49814,396.44766,390.88916,279.8374,318.40982,257.1556,251.01645,239.86984,360.57727,239.12863,364.37964,380.9777,236.94014,364.6174,243.60225,266.3847,235.62865,230.42778,251.65813,364.50708,249.4242,294.01257,243.06734,369.12744,270.40585,270.92078,393.13187,388.49704,252.51422,288.69507
471810 3489150,471810.0,3489150.0,22,creekbank,2.0,379.15088,490.22015,348.5704,374.9642,469.54333,436.57867,279.22128,530.6995,393.40665,335.6226,456.12003,566.898,579.80237,375.48758,372.6725,322.90085,311.05954,310.01083,379.97427,403.238,552.7812,440.47726,336.32864,443.2093,294.8514,373.41397,320.77,262.43356,342.57462,555.001,340.56168,428.32593,342.86734,461.0337,394.41376,338.19772,542.0441,552.48694,380.99728,379.9581
471810 3489120,471810.0,3489120.0,23,midmarsh,2.0,330.58792,390.58713,323.59253,360.91324,418.35202,415.82187,290.96954,425.612,393.27625,290.53973,446.02292,469.54706,561.5891,403.6203,407.0761,328.2338,284.95935,344.33853,431.72415,346.82074,555.82263,443.51712,350.33203,450.6805,295.30957,369.28494,334.77856,282.23572,374.58224,472.0832,290.4271,409.78763,344.1558,556.4689,413.3236,326.87582,450.14478,444.55005,368.83582,351.34232
471840 3489300,471840.0,3489300.0,24,creekbank,2.0,319.2331,380.96866,312.82602,361.52325,388.9834,412.96362,278.00348,436.67896,413.3961,309.77505,452.04565,587.2114,432.556,378.70566,368.81363,337.32516,292.91202,279.88596,379.75754,287.17725,436.7876,475.92685,317.16052,408.17926,264.87347,380.35495,308.08957,249.2596,276.29276,443.0422,324.00433,386.7008,346.8913,433.7092,387.79166,348.51675,556.886,545.88293,350.9071,368.65756
471840 3489270,471840.0,3489270.0,25,creekbank,2.0,319.61975,383.8201,319.3722,331.46906,389.98627,383.13852,287.06335,458.36563,380.55545,299.16174,442.3909,590.3808,430.89496,372.277,343.99796,327.7343,293.98914,285.72955,379.5813,247.21501,412.56277,494.12045,302.68182,418.95676,264.9745,374.78278,285.9807,249.74316,276.8509,435.42825,332.23212,383.93967,331.4157,434.03394,380.5891,347.15997,556.62335,545.9855,366.4543,359.43835
471840 3489240,471840.0,3489240.0,26,creekbank,2.0,312.06827,380.7098,313.68747,348.59634,386.68253,380.37723,287.69662,541.4109,411.24234,287.75055,441.80627,577.1918,433.06677,351.8124,369.271,332.1457,272.3876,278.38,385.4156,255.68823,410.58676,439.11398,280.45425,389.96182,263.02017,282.79437,290.0858,250.0882,268.02448,432.79938,309.44867,368.82364,339.77887,434.35254,355.18198,340.00165,553.6225,547.2029,331.53864,369.33987
471840 3489210,471840.0,3489210.0,27,creekbank,2.0,296.08725,371.65796,293.51053,279.7291,371.55008,367.78644,234.47276,453.8755,372.0453,262.108,393.06796,485.96878,411.26862,313.55792,343.20145,265.10684,256.71484,244.12437,370.71448,240.56743,371.0913,406.5486,258.4846,374.8033,238.9958,278.9533,253.6237,229.8825,251.13428,396.17743,249.9593,326.3092,303.9104,385.39688,309.3055,294.28793,407.40366,412.11484,294.29443,324.00317
471840 3489180,471840.0,3489180.0,28,creekbank,2.0,302.63263,412.67023,296.01617,295.0744,366.74008,387.57745,247.01602,452.9535,366.27588,304.58548,427.3822,575.45105,417.29956,309.46866,340.10284,258.48053,279.2329,250.78737,365.16818,277.63,406.39423,413.61728,301.76785,387.40744,254.89705,281.427,255.39851,236.68481,272.0506,399.45413,282.3862,342.65396,271.37003,415.8253,330.30316,312.50208,446.20428,417.86517,312.34894,324.0246
471840 3489120,471840.0,3489120.0,29,midmarsh,2.0,319.7079,443.39587,319.57733,301.22733,388.8511,398.11487,267.55515,401.86792,395.3337,286.64746,419.91232,524.3927,408.09723,352.29483,372.541,278.94556,283.13498,267.1081,392.89456,262.7643,449.53818,438.74036,288.23462,396.40848,271.443,297.32925,262.99414,257.92258,282.5391,415.43997,272.60345,331.5316,267.38675,394.9047,307.19284,268.94666,420.19034,416.31866,289.03333,331.21054
471840 3489090,471840.0,3489090.0,30,midmarsh,2.0,327.19495,429.59186,323.47668,322.5548,386.77966,391.5563,273.6569,409.6877,388.64117,288.71436,552.8073,545.2347,543.2761,402.223,385.13977,328.3565,303.7671,284.62335,421.85663,265.8741,449.22552,398.07855,314.6385,386.87924,313.9364,296.42084,290.06396,260.57962,317.11258,414.44537,274.5364,374.09122,274.10245,435.6853,336.983,265.50095,399.58405,410.05624,290.56073,338.52234
471870 3489300,471870.0,3489300.0,31,creekbank,2.0,319.83157,382.24542,314.23013,349.86258,389.77634,391.66898,290.31833,510.55902,403.51422,309.21286,444.09164,598.28955,436.8211,365.37622,371.9841,354.60208,278.89832,275.91132,389.94415,350.85666,412.2303,438.79623,309.7977,390.67343,269.44537,314.19412,300.55627,245.82373,278.39325,424.1128,326.1709,358.97336,342.3366,416.09915,370.57706,307.72055,559.027,545.00977,334.7129,353.75867
471870 3489270,471870.0,3489270.0,32,creekbank,2.0,319.9159,382.9555,314.11954,325.58975,391.39532,377.59225,286.81717,472.70868,382.1957,291.81552,446.99307,580.52606,442.40305,362.7682,364.6208,334.415,291.39877,267.043,384.46664,320.8201,400.56384,446.49176,323.54752,407.10776,255.2213,409.303,321.54297,244.47609,278.48218,434.63947,331.6252,384.2462,340.46045,430.42227,376.51593,329.82077,560.74225,549.6536,325.86533,346.0702
