Site,Install_year,type,year,biomass,flats_mean,years_since_install,time_since_intervention,installation_year,PostInstall,YearSinceInstall,resid
Plantation Creek Site,2010,Oyster Reef,1984,415.5691833,0.3794103605406624,-26,0,2010,0,0,-157.6121030118755
Florida Passage Site,2012,Oyster Reef,1984,546.7875977,0.75210040807724,-28,0,2012,0,0,-56.665982715155565
Oatland Site,2014,Oyster Reef,1984,454.8489075,0.23914049979713228,-30,0,2014,0,0,-45.02086464664211
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1984,426.0000305,0.8805261585447524,-25,0,2009,0,0,-76.927027192112
Oyster Creek Site B,2013,Oyster Reef,1984,239.0602264,0.7455114807401385,-29,0,2013,0,0,-84.03246549788432
Jointer Creek Oyster Reef A,2012,Oyster Reef,1984,280.4190674,0.7536051422357559,-28,0,2012,0,0,-75.08940090094609
Jointer Creek Oyster Reef B,2012,Oyster Reef,1984,289.9235229,0.7772887945175171,-28,0,2012,0,0,-73.81725581424212
Jointer Creek Oyster Reef C,2012,Oyster Reef,1984,324.1022034,0.9302453200022379,-28,0,2012,0,0,-44.359191711684616
Jointer Creek Oyster Reef D,2012,Oyster Reef,1984,389.0090942,0.39779676869511604,-28,0,2012,0,0,-103.11109948370421
Turtle A,2014,Oyster Reef,1984,673.8467407,0.4536120941241582,-30,0,2014,0,0,-195.49391337202587
Turtle B,2014,Oyster Reef,1984,327.8730164,0.3956202529370785,-30,0,2014,0,0,-103.00620945625104
Turtle C,2014,Oyster Reef,1984,619.6674805,0.7123857055391584,-30,0,2014,0,0,-103.58274927105549
Turtle D,2014,Oyster Reef,1984,420.4493103,0.33737516616071966,-30,0,2014,0,0,-79.84263161692036
Turtle E,2014,Oyster Reef,1984,354.0361938,0.4637099727988243,-30,0,2014,0,0,-43.702242739463486
Bellville Boat Ramp Site,2008,Oyster Reef,1984,832.5755615,0.5481042762597402,-24,0,2008,0,0,-92.33296875091924
Plantation Creek Site,2010,Oyster Reef,1985,596.6967163,0.33752324245870113,-25,0,2010,0,0,25.71414380416752
Florida Passage Site,2012,Oyster Reef,1985,628.0081177,0.8602088491121928,-27,0,2012,0,0,26.753251100887383
Oatland Site,2014,Oyster Reef,1985,431.6841736,0.33970142528414726,-29,0,2014,0,0,-65.98688473059912
Jekyll Island Boat Ramp Site,2009,Oyster Reef,1985,584.0574951,0.899851211479732,-24,0,2009,0,0,83.32915122393098
Oyster Creek Site B,2013,Oyster Reef,1985,372.6588135,0.7768438696861267,-28,0,2013,0,0,51.76483541815867
Jointer Creek Oyster Reef A,2012,Oyster Reef,1985,399.076416,0.8147927863257272,-27,0,2012,0,0,45.76666151509687
Jointer Creek Oyster Reef B,2012,Oyster Reef,1985,397.9461975,0.829079304422651,-27,0,2012,0,0,36.404132601800825
