,Latitude,Longitude,Site name,Installation_year,type,geometry,biomass_1984,biomass_1985,biomass_1986,biomass_1987,biomass_1988,biomass_1989,biomass_1990,biomass_1991,biomass_1992,biomass_1993,biomass_1994,biomass_1995,biomass_1996,biomass_1997,biomass_1998,biomass_1999,biomass_2000,biomass_2001,biomass_2002,biomass_2003,biomass_2004,biomass_2005,biomass_2006,biomass_2007,biomass_2008,biomass_2009,biomass_2010,biomass_2011,biomass_2012,biomass_2013,biomass_2014,biomass_2015,biomass_2016,biomass_2017,biomass_2018,biomass_2019,biomass_2020,biomass_2021,biomass_2022,biomass_2023
0,31.122967,-81.477183,Plantation Creek Site,2010,Oyster Reef,POINT (-81.477183 31.122967),415.5691833,596.6967163,424.1602478,444.7601013,454.6669006,633.7443237,417.8236389,1066.459595,605.1796875,428.6383362,653.0330811,724.0513306,651.4071655,440.2826233,480.384491,438.8674622,428.1877441,425.9655762,662.2423706,442.3424988,673.5912476,662.2679443,393.0657959,594.0621948,399.7562561,624.1729736,424.5984192,403.6470642,420.4058533,704.4359741,468.0441895,664.6762695,467.1913147,615.9052734,478.2547913,434.525177,714.1369019,823.7886353,479.7319641,464.3579102
1,31.83865,-81.15333333,Florida Passage Site,2012,Oyster Reef,POINT (-81.15333333 31.83865),546.7875977,628.0081177,713.2334595,566.3395386,714.5567627,735.7875366,455.015625,929.5487671,656.9455566,520.3607788,741.8510742,780.9871826,518.427002,661.0735474,522.4761963,508.8463745,461.3734436,472.497345,671.711792,523.4186401,583.7041016,550.5997925,377.6419067,693.0176392,445.998291,637.1309204,463.5106201,429.2822266,406.5592041,778.7485352,392.9144897,673.4588013,477.7077637,490.0226135,480.4110107,418.3325195,560.9403076,493.2762451,459.2259521,502.5925903
2,32.04801667,-81.01923333,Oatland Site,2014,Oyster Reef,POINT (-81.01923333 32.04801667),454.8489075,431.6841736,551.1766357,462.3597107,528.9411621,523.3167725,415.1896973,525.0217285,495.2327881,462.3419189,530.7637939,679.7028809,464.1482849,555.2220459,462.9474792,392.8549194,389.4212036,383.5690918,502.890625,405.3289795,532.8916626,472.1933594,342.5863953,584.1845703,378.2870178,496.5157471,399.4590454,376.1099243,370.4666443,465.1555481,409.9963379,560.0109253,399.9281006,434.6127319,431.4656372,378.2627563,505.9797058,516.5578613,391.1610107,401.9942627
3,31.9888,-81.02488333,Skidaway River Site,2010,Oyster Reef,POINT (-81.02488333 31.9888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31.32615,-81.32228333,Estuaries Area of the Altamaha River,2009,Oyster Reef,POINT (-81.32228333 31.32615),432.9542236,432.9542236,346.1081848,367.5295715,435.8265381,432.9542236,321.0168152,401.5853271,434.8094177,323.4813538,432.9542236,434.9885254,404.3118591,329.1496887,279.8864441,255.3087158,240.4312286,255.0311127,367.6387634,266.3982849,412.5493164,1853.736328,439.7187805,1817.114258,1805.048218,1949.942261,1817.402222,1762.354492,1374.31311,1972.831665,1785.122437,1951.63147,1691.542358,1945.601929,1816.893677,1365.065308,1973.96106,1929.251587,1754.852905,1458.545532
5,31.04165,-81.42301667,Jekyll Island Boat Ramp Site,2009,Oyster Reef,POINT (-81.42301667 31.04165),426.0000305,584.0574951,406.8314209,387.4683533,468.236969,562.72229,351.4916992,448.1933289,563.2223511,410.424408,608.8296509,590.7879639,597.656311,466.7285156,408.9023132,395.5336609,398.0437012,412.9073181,560.6226196,419.0458679,569.2075806,595.0631104,335.125,568.7260132,414.4759827,569.8777466,357.0115967,316.1078796,434.5355225,596.7495117,403.8865967,589.3510742,412.7666016,562.5775757,411.9580078,411.6583557,465.73526,575.5802612,408.2917175,419.0758362
6,32.00298333,-80.91781667,Oyster Creek Site A,2013,Oyster Reef,POINT (-80.91781667 32.00298333),262.6100769,438.0786133,411.7060242,294.4016113,382.8237,369.6588135,270.6307373,403.674408,402.0306091,,461.9894714,448.1650085,299.5976868,302.9890442,294.5885315,234.8994751,225.1530609,236.8954468,370.6873779,227.8152466,374.0804443,282.6158142,204.5809174,392.33078,271.4950256,401.6476135,235.6262207,223.3917999,235.9222412,360.3586731,270.3908386,375.3888245,244.5195923,265.2843933,250.3352509,254.6877441,255.0682983,267.6928101,293.2305603,261.7436523
7,32.00441667,-80.91488333,Oyster Creek Site B,2013,Oyster Reef,POINT (-80.91488333 32.00441667),239.0602264,372.6588135,358.2865906,291.5629578,369.7515564,366.1830444,257.2732239,338.1025085,344.1502075,292.5319824,400.8688049,412.3858948,279.9411316,272.3890686,239.4647675,212.1169434,227.1656189,231.8927917,373.2827759,211.455246,375.2473755,287.7948608,213.6856232,396.5411987,244.1049042,348.6974182,206.3730164,206.7933807,230.6772766,321.6247864,251.9254608,379.9523621,205.8884735,232.5729065,215.7311249,246.2842255,249.8311768,214.5751495,207.7016296,215.8574677
8,32.00795,-80.91168333,Oyster Creek Site C,2013,Oyster Reef,POINT (-80.91168333 32.00795),325.5896912,409.9820251,415.6010742,346.9356384,331.8312073,390.0256042,231.1397858,478.0657043,326.2043762,,398.8591309,497.0522766,299.8124695,293.7434998,299.3677979,237.4196777,222.291275,205.5621948,371.0335388,226.086731,340.4718323,295.5225525,438.5,367.3833313,228.3732147,313.9199524,252.6988525,218.7212677,198.520462,372.361908,256.26651,361.5921936,217.5948486,236.406189,253.39888,245.1197357,258.0311279,235.8165741,237.0695648,234.7774658
9,31.0808,-81.50021667,Jointer Creek Oyster Reef A,2012,Oyster Reef,POINT (-81.50021667 31.0808),280.4190674,399.076416,300.4926758,347.0911255,369.0821838,375.2559204,254.4259949,318.63797,365.8925171,272.1950684,392.7398682,541.1696777,394.4703979,245.7755127,299.4849548,281.5675659,252.5852356,271.8853149,364.6024475,280.0456543,393.5281982,382.5842285,232.1643066,366.4785767,301.6809692,379.0058289,231.8764191,244.4851074,267.1429749,370.8686829,246.6082153,368.6362305,251.0393372,361.8076172,229.932373,265.0360413,363.7105103,365.9095764,254.1144867,320.2521973
