pkSiteId,commonName,siteNumber,latSeconds,longSeconds,dnrverified,projectAddress,altLocDesc,pin,city,xrefSiteNumber,lotPhaseDistrict,fkSubDivisionId,fkWaterWayId,fkCountyId,fkIslandId,fkWaterwayTypeId,subDivisionHasRestriction,subDivisionRestriction,waterwayHasRestriction,waterwayRestriction,totalSiteImpacts,allPermitsLastExpiryDate,marinaLeaseLastExpiryDate,isAllPermitsExpired,isMarinaLeaseExpired,historicalTracking,historicalEventMemos,historicalDeletedSiteRecs,historicalCorpsPermitNums,historicalSiteHistory,isLockedForEdit,fkLastLockedBy,lastLockedAt,systemLockerBit,fkSubDivision,fkWaterWay,fkCounty,fkIsland,fkWaterwayType,siteStructures,coordinates,siteTypes,projectTypes
11734,0 Estill Hammock Road,12092020_044415PM,115236.972,-291110.4,True,0 Estill Hammock Road,,10012 01002,,,Portion Of The East Fork Of Estill Hammock,-2.0,63,28,-2.0,3,False,,False,,0.0,2020-12-21T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
11187,"10 Horsepen Point Drive, 12 Horsepen Point Drive & 18 Horsepen Point Drive",05292019_084249AM,115202.7,-291079.044,True,"10 Horsepen Point Drive, 12 Horsepen Point Drive &","Horse Pen Hammock (Huffstetler, Alexander, Sheehan",,,,HORSE PEN HAMMOCK FORT WARD TYBEE HIGHLAND & MARSH,211.0,159,28,63.0,3,False,,False,,0.10395,2030-03-07T00:00:00,1900-01-01T00:00:00,False,True,,,,,,True,33,2025-04-10T09:17:37.247,False,,,,,,[],,[],[]
9331,1002 5th Avenue,05112015_103346AM,115206.696,-291059.784,True,1002 5th Avenue,,4-0012-01-022,Tybee Island,,,-2.0,159,28,63.0,3,False,,False,,0.0,1900-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
12026,105 Back Landing Way,08042021_100056AM,114883.092,-291882.636,True,105 Back Landing Way,Causeway To 105 Back Landing Way Hammock #4,10396 01001W,Savannah,,Parcel B,449.0,89,28,56.0,6,False,,False,,0.02153,2029-04-26T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
10594,110 Herb River Drive,11222017_104817AM,115191.54,-291768.264,True,110 Herb River Drive,,,Savannah,,Lot 9,-2.0,127,28,19.0,3,False,,False,,0.00533,2029-10-01T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1061,1118  Walthour Road,12021991_120500AM,115201.404,-291481.02,True,1118  Walthour Road,Across Walthour @  Penn Waller Road,,,,Lot A,131.0,16,28,67.0,3,False,,False,,0.12817,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
12527,113 Meriweather Drive,12272022_101701AM,115233.768,-291716.568,True,113 Meriweather Drive,,,,,PARCEL 2 - RECOMB LOT 3 & PT OF MARSHES & LAGOONS,123.0,127,28,19.0,6,False,,False,,0.0,1900-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
1512,115 Winterberry Drive,07181994_120000AM,115102.476,-291887.064,True,115 Winterberry Drive,6 Spring Marsh Lane,10424 03012,Skidaway Island,06271989_120000AM,Lot 12,556.0,213,28,56.0,14,False,,False,,0.07879,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
142,119 Johnny Mercer Boulevard Sasser Seafood,02161973_120000AM,115250.4,-291558.6,True,119 Johnny Mercer Boulevard,"Multiple Lots, US 80 Bridge, 5th GMD",,Wilmington,08011972_120000AM,LOT 3-C SUB OF LOT C,528.0,301,28,67.0,3,False,,False,,3.40911,2029-05-27T00:00:00,2029-02-27T00:00:00,False,False,,,,,,False,-1,,False,,,,,,[],,[],[]
5653,121 Catalina Drive,11062005_120000AM,115217.37,-291116.9196,True,121 Catalina Drive,,,,,Lot 12,-2.0,261,28,57.0,3,False,,False,,0.11217,2020-12-07T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
5362,1232 Dublin Trust,12292004_103443AM,114940.152,-292597.992,True,1232 Dublin Drive Parcel N,Parcel N,0544 001,Richmond Hill,,Parcel N,149.0,227,18,-2.0,14,False,,False,,0.02378,2029-04-03T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[]
3666,1284 Mill Hill Landing,01092001_120100AM,114825.204,-292481.46,True,1284 Mill Hill Landing,,,Richmond Hill,,"22, 23",286.0,227,18,-2.0,14,False,,False,,0.05225,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
146,131 Eagles Nest,05111973_120100AM,115247.016,-291070.90368,True,131 Eagles Nest,,4-0019 -02-045,Tybee,,Lot 7,127.0,63,28,63.0,3,False,,False,,0.03465,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[]
