pkEventId,fkSiteId,eventCode,description,corpsPermitNumber,vesselName,requestDate,conclusionDate,fkMemberIdprojectManager,fkFileLocationId,fkImpactedWatersId,crdpermitNumber,entityLegalName,totalEventEnvironmentalImpacts,totalEventAuthorizedImpacts,mitigationArea,actions,eventApplicantAgents,eventAttachments,eventNotes,coastalPermitMember,projects,pkSiteId,commonName,siteNumber,latSeconds,longSeconds,dnrverified,projectAddress,altLocDesc,pin,city,xrefSiteNumber,lotPhaseDistrict,fkSubDivisionId,fkWaterWayId,fkCountyId,fkIslandId,fkWaterwayTypeId,subDivisionHasRestriction,subDivisionRestriction,waterwayHasRestriction,waterwayRestriction,totalSiteImpacts,allPermitsLastExpiryDate,marinaLeaseLastExpiryDate,isAllPermitsExpired,isMarinaLeaseExpired,historicalTracking,historicalEventMemos,historicalDeletedSiteRecs,historicalCorpsPermitNums,historicalSiteHistory,isLockedForEdit,fkLastLockedBy,lastLockedAt,systemLockerBit,fkSubDivision,fkWaterWay,fkCounty,fkIsland,fkWaterwayType,siteStructures,coordinates,siteTypes,projectTypes,latitude,longitude
36145,660,CMP20260024,modify community dock - add float,200405400,,2026-08-21T00:00:00,,102,-2,1,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60803, ""fkEventId"": 36145, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""DeLoach"", ""firstName"": ""David"", ""mi"": "" "", ""company"": ""Sapelo Woods POA, Inc"", ""address1"": ""1242 Dovie Dr NE"", ""address2"": """", ""city"": ""Townsend"", ""state"": ""GA"", ""zip"": ""31331"", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60804, ""fkEventId"": 36145, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""LaBarba"", ""firstName"": ""Sam"", ""mi"": "" "", ""company"": ""LaBarba Env Services"", ""address1"": ""139 Altama Connector"", ""address2"": ""#161"", ""city"": ""Brunswick"", ""state"": ""GA"", ""zip"": ""31525"", ""eventApplicantAgentContacts"": []}]",[],[],,,660,Sapelo Woods Community Dock,03141988_120000AM,113664.132,-292732.344,True,1242 Dovie Drive,,0072B 0072,Shellman Bluff,,"Lot 13, Block F, Phase I",406.0,174,101,-2.0,14,False,,False,,0.88872,2017-06-13T00:00:00,2030-07-21T00:00:00,True,False,,,,,,False,-1,,False,,,,,,[],,[],[],31.57337,-81.31454
36123,11693,CMP20260023,CMPA new community dock,202600682,,2026-07-20T00:00:00,,102,-2,1,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60771, ""fkEventId"": 36123, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Dudley"", ""firstName"": ""Sidney"", ""mi"": "" "", ""company"": ""Pulte Home Co LLC"", ""address1"": ""4401 Leeds Ave"", ""address2"": ""Suite 400"", ""city"": ""Charleston"", ""state"": ""SC"", ""zip"": ""29405"", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60772, ""fkEventId"": 36123, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""Willis"", ""firstName"": ""Matthew"", ""mi"": "" "", ""company"": ""Resource and Land Consultants (RLC)"", ""address1"": ""41 Park of Commerce Way"", ""address2"": ""Suite 101"", ""city"": ""Savannah"", ""state"": ""GA"", ""zip"": ""31405"", ""eventApplicantAgentContacts"": []}]",[],[],,,11693,Del Webb at Heartwood,10282020_084817AM,114632.82,-292828.428,True,Belfast Keller Road (south side),West of 2013000637, 049 016 12 and other (subdivided),Richmond Hill,,049 004,-2.0,168,18,-2.0,17,False,,False,,2.53999,1900-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[],31.842450000000003,-81.34123000000001
35985,1283,CMP20260022,CMP 895 modification; installation of 7 additional dolphins and boat lift,202300712,,2026-07-30T00:00:00,,76,-2,1,,,0.0,-0.05301,0.0,[],"[{""pkEventApplicantAgentId"": 60597, ""fkEventId"": 35985, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Cheshire"", ""firstName"": ""Clay"", ""mi"": "" "", ""company"": ""CTI Woodcock Property, LLC"", ""address1"": ""101 N Lathrop Avenue"", ""address2"": """", ""city"": ""Savannah"", ""state"": ""GA"", ""zip"": ""31415"", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60598, ""fkEventId"": 35985, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""Wall"", ""firstName"": ""Brandon"", ""mi"": "" "", ""company"": ""Sligh Environmental Consultants"", ""address1"": """", ""address2"": """", ""city"": """", ""state"": ""  "", ""zip"": """", ""eventApplicantAgentContacts"": []}]",[],[],,,1283,"CTI (Epic Midstream, Chevron, Standard Oil, Nustar Energy)",04151993_120000AM,115484.7888,-291753.5364,True,1 Woodcock Road,Station 60+500+,,Savannah,12111997_120000AM & 06122006_120505AM,,-2.0,260,28,-2.0,14,False,,False,,2.53967,2029-11-29T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[],32.079108,-81.042649
35906,153,CMP20260021,"permit modification - increase dredge depth to -47ft, project boundary modification for additional CDFs, add clamshell dredging ",201900751,,2026-07-08T00:00:00,,33,-2,1,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60487, ""fkEventId"": 35906, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Rowland"", ""firstName"": ""Philip "", ""mi"": "" "", ""company"": ""Sulfco, LLC"", ""address1"": ""118 East 35th Street"", ""address2"": """", ""city"": ""Savannah"", ""state"": ""GA"", ""zip"": ""31401"", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60488, ""fkEventId"": 35906, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""Redmond"", ""firstName"": ""Sydni"", ""mi"": "" "", ""company"": ""Passarella and Associates, Inc. "", ""address1"": ""363 Wando Place Drive, Suite 200"", ""address2"": """", ""city"": ""Mount Pleasant"", ""state"": ""SC"", ""zip"": ""29464"", ""eventApplicantAgentContacts"": []}]",[],[],,,153,Seapoint Marine Terminal,06251973_120200AM,115481.304,-291713.076,True,100 Seapoint Blvd,1 Kerr McGee Road,,Savannah,06131989_1202; 01162003_1200; 11011988_1200,,-2.0,260,28,-2.0,14,False,,False,,70.14831,2030-12-11T00:00:00,1900-01-01T00:00:00,False,True,,,,,,True,106,2025-02-26T15:04:36.15,False,,,,,,[],,[],[],32.07814,-81.03141
35893,9624,CMP20260020,CMPA for living shoreline ,202600614,,2026-07-08T00:00:00,,99,-2,1,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60469, ""fkEventId"": 35893, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Stafford"", ""firstName"": ""Denean"", ""mi"": "" "", ""company"": ""Shadowlawn, LLC "", ""address1"": ""4702 Woodland Dr. E"", ""address2"": """", ""city"": ""Tifton"", ""state"": ""GA"", ""zip"": ""31794"", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60470, ""fkEventId"": 35893, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""LaBarba"", ""firstName"": ""Sam"", ""mi"": "" "", ""company"": ""LES"", ""address1"": """", ""address2"": """", ""city"": """", ""state"": ""  "", ""zip"": """", ""eventApplicantAgentContacts"": []}]",[],[],,,9624,Shadowlawn LLC,02192016_124131PM,110671.812,-293717.916,True,101 David Porter Court,301 Moeckel Place,135 094R,St. Marys,,"Parcel 2, Phase 3",436.0,32,23,-2.0,3,False,,False,,0.0,2019-05-17T00:00:00,1900-01-01T00:00:00,True,True,"
","
","
","
","
",False,-1,,False,,,,,,[],,[],[],30.74217,-81.58831
35852,2372,CMP20260019,Living Shoreline,,,2026-06-22T00:00:00,,33,-2,0,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60412, ""fkEventId"": 35852, ""fkApplicantAgentTypeId"": 1, ""lastName"": """", ""firstName"": """", ""mi"": "" "", ""company"": ""UGA Marex "", ""address1"": """", ""address2"": """", ""city"": """", ""state"": ""  "", ""zip"": """", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60413, ""fkEventId"": 35852, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""Labarba"", ""firstName"": ""Sam"", ""mi"": "" "", ""company"": """", ""address1"": """", ""address2"": """", ""city"": """", ""state"": ""  "", ""zip"": """", ""eventApplicantAgentContacts"": []}]",[],[],,,2372,Burton 4H Center (UGA Marex),07151998_120000AM,115224.3,-291066.53976,True,9 Lewis Avenue,6th St. & Lewis Ave.,,,02222013_013626PM,,-2.0,159,28,-2.0,3,False,,False,,0.08823,2027-03-24T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[],32.006750000000004,-80.8518166
35825,13671,CMP20260018,CMPA for BST,,,2026-06-22T00:00:00,,99,-2,1,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60380, ""fkEventId"": 35825, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Witthoft"", ""firstName"": ""Rhea & Carl"", ""mi"": "" "", ""company"": """", ""address1"": ""1171 Harbor Hill Cr. SE"", ""address2"": """", ""city"": ""darien"", ""state"": ""GA"", ""zip"": ""31305"", ""eventApplicantAgentContacts"": []}]",[],[],,,13671,Witthoft,01302026_093230AM,113168.5344,-292995.5688,True,1171 Harbor Hill Cr. SE,,0064C 0012002,,,,509.0,163,101,62.0,3,False,,False,,0.0,1900-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[],31.435704,-81.387658
35810,6739,CMP20260017,ATF application to retain existing bulkhead & fill. Withdrawn,,,2010-06-07T00:00:00,2010-08-16T00:00:00,110,-2,1,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60356, ""fkEventId"": 35810, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Marshlick"", ""firstName"": """", ""mi"": "" "", ""company"": ""C&M Enterprises, LLC"", ""address1"": """", ""address2"": """", ""city"": """", ""state"": ""  "", ""zip"": """", ""eventApplicantAgentContacts"": []}]",[],[],,,6739,"C & M Enterprises Of GA, LLC/Marshlick",04132008_120001PM,114869.484,-292558.356,True,190 Sallette Road,"3.84 Acres, 20th GMD",0601 089,Richmond Hill,,,-2.0,227,18,-2.0,14,False,,False,,0.14114,2012-01-01T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[],31.908189999999998,-81.26621
35788,9502,CMP20260016,CMPA for riprap,,,2026-06-04T00:00:00,,99,-2,1,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60320, ""fkEventId"": 35788, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Warren "", ""firstName"": ""Glenn"", ""mi"": "" "", ""company"": ""Lumar, LLC"", ""address1"": ""3621 Vinings Slope "", ""address2"": ""Suite 4420"", ""city"": ""Atlanta"", ""state"": ""GA"", ""zip"": ""30339"", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60321, ""fkEventId"": 35788, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""Turner"", ""firstName"": ""Tristan"", ""mi"": "" "", ""company"": ""Sligh EC"", ""address1"": """", ""address2"": """", ""city"": """", ""state"": ""  "", ""zip"": """", ""eventApplicantAgentContacts"": []}]",[],[],,,9502,"Lumar, LLC",10202015_084919AM,110762.928,-293292.324,True,North Of Sea Camp Dock,Cumberland Island,181 006,,,"Tract 3 South, Parcel 4",-2.0,335,23,17.0,24,False,,False,,0.04784,2018-12-23T00:00:00,1900-01-01T00:00:00,True,True,,,,,,False,-1,,False,,,,,,[],,[],[],30.76748,-81.47009000000001
35742,13670,CMP20260015,CMPA for BST,202600464,,2026-05-26T00:00:00,,99,-2,5,,,0.0,0.0,0.0,[],"[{""pkEventApplicantAgentId"": 60254, ""fkEventId"": 35742, ""fkApplicantAgentTypeId"": 1, ""lastName"": ""Clark"", ""firstName"": ""Jason & Susan "", ""mi"": "" "", ""company"": """", ""address1"": ""1322 Bay St."", ""address2"": """", ""city"": ""Brunswick"", ""state"": ""GA"", ""zip"": ""31520"", ""eventApplicantAgentContacts"": []}, {""pkEventApplicantAgentId"": 60255, ""fkEventId"": 35742, ""fkApplicantAgentTypeId"": 2, ""lastName"": ""LaBarba"", ""firstName"": ""Sam"", ""mi"": "" "", ""company"": ""LES"", ""address1"": """", ""address2"": """", ""city"": """", ""state"": ""  "", ""zip"": """", ""eventApplicantAgentContacts"": []}]",[],[],,,13670,Clark,01262026_115047AM,111979.044,-293815.404,True,353 Bluffs Landing,Lot 83 Berrie Bluffs,110010B,,,Lot 83,33.0,23,23,,3,False,,False,,0.01881,2029-08-18T00:00:00,1900-01-01T00:00:00,False,True,,,,,,False,-1,,False,,,,,,[],,[],[],31.10529,-81.61538999999999
